# copied from 2006
# updated from iccc data
# remove this line when finished
2022-01-01      white  Christmas Holy Name
2022-01-02      green  Christmas
2022-01-03      green  Christmas
2022-01-04      green  Christmas
2022-01-05      green  Christmas
2022-01-06      white   Epiphany Epiphany
2022-01-07      green   Epiphany
2022-01-08      green   Epiphany Epiphany 1
2022-01-09      green   Epiphany
2022-01-10      white   Epiphany William Laud
2022-01-11      green   Epiphany
2022-01-12      green   Epiphany
2022-01-13      white   Epiphany Hilary
2022-01-14      green   Epiphany
2022-01-15      green   Epiphany Epiphany 2
2022-01-16      green   Epiphany
2022-01-17      white   Epiphany Antony
2022-01-18      white   Epiphany Confession of Saint Peter
2022-01-19      white   Epiphany Wulfstan
2022-01-20      white   Epiphany Fabian
2022-01-21      white   Epiphany Agnes
2022-01-22      green   Epiphany Epiphany 3
2022-01-23      white   Epiphany Phillips Brooks
2022-01-24      green   Epiphany
2022-01-25      white   Epiphany Conversion of Saint Paul
2022-01-26      white   Epiphany Timothy and Titus
2022-01-27      white   Epiphany John Chrysostom
2022-01-28      white   Epiphany Thomas Aquinas
2022-01-29      green   Epiphany Epiphany 4
2022-01-30      green   Epiphany
2022-01-31      green   Epiphany
2022-02-01      green   Epiphany
2022-02-02      white   Epiphany Presentation of our Lord
2022-02-03      white   Epiphany Anskar
2022-02-04      white   Epiphany Cornelius
2022-02-05      green   Epiphany Epiphany 5
2022-02-06        red   Epiphany Martyrs of Japan (transferred)
2022-02-07      green   Epiphany
2022-02-08      green   Epiphany
2022-02-09      green   Epiphany
2022-02-10      green   Epiphany
2022-02-11      green   Epiphany
2022-02-12      green   Epiphany Epiphany 6
2022-02-13      white   Epiphany Absalom Jones
2022-02-14      white   Epiphany Cyril and Methodius
2022-02-15      white   Epiphany Thomas Bray
2022-02-16      green   Epiphany
2022-02-17      green   Epiphany
2022-02-18      green   Epiphany
2022-02-19      green   Epiphany Epiphany 7
2022-02-20      green   Epiphany
2022-02-21      green   Epiphany
2022-02-22      green   Epiphany
2022-02-23        red   Epiphany Polycarp
2022-02-24      white   Epiphany Matthias
2022-02-25      green   Epiphany
2022-02-26      green   Epiphany Epiphany 8
2022-02-27      white   Epiphany George Herbert
2022-02-28      white   Epiphany Shrove Tuesday
2022-03-01     purple       Lent Ash Wednesday
2022-03-02      white       Lent Chad
2022-03-03      white       Lent John and Charles Wesley
2022-03-04     purple       Lent
2022-03-05     purple       Lent Lent 1
2022-03-06     purple       Lent
2022-03-07        red       Lent Perpetua and her companions
2022-03-08      white       Lent Gregory of Nyssa
2022-03-09      white       Lent Gregory the Great
2022-03-10     purple       Lent
2022-03-11     purple       Lent
2022-03-12     purple       Lent Lent 2
2022-03-13     purple       Lent
2022-03-14     purple       Lent
2022-03-15     purple       Lent
2022-03-16     purple       Lent
2022-03-17      white       Lent Patrick
2022-03-18      white       Lent Cyril
2022-03-19       rose       Lent Lent 3
2022-03-20      white       Lent Joseph (transferred)
2022-03-21      white       Lent Thomas Ken
2022-03-22      white       Lent James De Koven
2022-03-23      white       Lent Gregory the Illuminator
2022-03-24     purple       Lent
2022-03-25       blue       Lent Annunciation of our Lord
2022-03-26     purple       Lent Lent 4
2022-03-27      white       Lent Charles Henry Brent
2022-03-28     purple       Lent
2022-03-29      white       Lent John Keble
2022-03-30     purple       Lent
2022-03-31      white       Lent John Donne
2022-04-01      white       Lent Frederick Denison Maurice
2022-04-02     purple       Lent Lent 5
2022-04-03      white       Lent Richard of Chichester
2022-04-04     purple       Lent
2022-04-05     purple       Lent
2022-04-06     purple       Lent
2022-04-07     purple       Lent
2022-04-08      white       Lent William Augustus Muhlenberg
2022-04-09     purple       Lent Lent 6
2022-04-10      white       Lent William Law (transferred)
2022-04-11      white       Lent George Augustus Selwyn
2022-04-12     purple       Lent
2022-04-13     purple       Lent
2022-04-14     purple       Lent Good Friday
2022-04-15     purple       Lent Easter Eve
2022-04-16      white     Easter Easter
